fid,name,定义
1,一次能源,一次能源是指自然界中以原有形式存在的、未经加工转换的能量资源，又称 天然能源 ，如煤炭、石油、天然气、水能等。
2,二次能源,二次能源是一次能源经过加工，转化成另一种形态的能源。主要有电力、焦炭、煤气、沼气、蒸汽、热水和汽油、煤油、柴油、重油等石油制品。
