pid,name,定义
1,农林牧渔业,属于第一产业，包括农用机械，林业设备及用具，畜牧养殖业设备及用具，渔业设备及用具，粮油加工机械，饲料加工机械，屠宰及肉类初加工设备，农副产品加工，木材加工，家具制造机械，其他等。
2,工业,工业是对自然资源开采和对各种原材料加工的社会物质生产部门。工业(industry)是社会分工发展的产物，经过手工业、机器工业等几个发展阶段，是第二产业的主要组成部分，分为轻工业和重工业两类。
3,建筑业,建筑业(Construction Business)指国民经济中从事建筑安装工程的勘察、设计、施工以及对原有建筑物进行维修活动的物质生产部门。
