pid,name,定义
1,投入产出基本流量表,全面、系统地反映社会产品生产与使用的结构,揭示生产过程中各部门之间相互依存和相互制约的经济技术联系,为研究产业结构、研究生产和使用平衡状况、研究价格政策等提供定量分析依据。
2,交易资金流量表（金融交易）,
3,非金融交易资金流量表（非金融交易）,

