pid,name,定义
1,经济循环账户,经济循环帐户是按照经济循环中主要环节设置的，它包括国民经济帐户、机构部门帐户、产业部门帐户和经济循环矩阵。经济循环帐户采用复式记帐方法，把基本核算表中各种流量和存量的基本指标连接起来，形成一套逻辑严密、结构严谨的帐户体系，系统地描述国民经济循环过程及国民经济各部门间的内在联系。
2,社会再生产核算表,是一系列反映社会再生产全过程及其各个环节、部门的经济活动。
